ArduinoMillis, Year, Month, Day, Hour, Minute, Second, Milisecond, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, AngleX, AngleY, AngleZ, MagX, MagY, MagZ, FileWriteMillis
3020, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 12, 
3035, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 14, 
3051, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 11, 
3065, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 12, 
3079, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 11, 
3093, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 11, 
3106, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 15, 
3124, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 11, 
3137, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 12, 
3151, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 12, 
3166, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 11, 
3179, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 14, 
3195, 0, 0, 0, 0, 0, 0, 85, 196, -610, 6180, 971, 46, -899, -28409, -2614, -21930, -339, 99, -441, 13, 
